41.91794205	-70.57740021	37.60316376
41.91691589	-70.57553101	35.21370792
41.91712952	-70.57672119	34.47500958
41.91692734	-70.57766724	14.97857712
41.91745377	-70.57867432	36.79823935
41.91796112	-70.57816315	60.36676188
41.91737366	-70.57674408	15.54838576
41.91826248	-70.57879639	50.71010987
41.91664886	-70.57759094	20.61666657
41.91663361	-70.57736206	14.47099416
41.91581726	-70.57458496	30.80893689
41.91619873	-70.5762558	77.92053227
41.91631699	-70.5742569	19.62858839
41.91568756	-70.57672882	12.23241579
41.9164238	-70.57569122	37.89190185
41.9158783	-70.57472229	18.35334047
41.9161911	-70.57846832	24.52774387
41.91569901	-70.574646	28.61688088
41.91584778	-70.57574463	39.17486678
41.91596222	-70.57611084	12.97651781
41.91753769	-70.5743866	5.850042583
41.91761017	-70.57458496	9.962286686
41.91714859	-70.57403564	10.65767033
41.91768	-70.57466	6.948890468
41.91739273	-70.57411957	5.15054932
41.91762161	-70.57478333	10.00464389
41.91735077	-70.57385254	11.5999535
41.91724396	-70.57370758	17.12820574
41.91752625	-70.57405853	10.56134293
41.91765594	-70.57501984	15.28905096
41.91514587	-70.57602692	20.38311877
41.91436386	-70.57741547	17.1426278
41.9144249	-70.57634735	4.285128725
41.91489029	-70.57619476	14.19321661
41.91418076	-70.57695007	40.92267761
41.914711	-70.57688904	13.55046829
41.91471481	-70.57598114	20.46608262
41.91381454	-70.57723236	28.53506837
41.91517639	-70.57695007	16.07341189
41.91380692	-70.5776062	28.55581734
41.91317749	-70.57800293	29.72534074
41.91378784	-70.57587433	15.6306718
41.91336823	-70.57670593	39.02390526
41.91286087	-70.57771301	49.07341769
41.91322327	-70.57720184	48.91327162
41.91373062	-70.57628632	24.60366745
41.91336441	-70.57621765	33.02699796
41.91321564	-70.5759964	17.89496688
41.91354752	-70.57832336	33.22239481
41.91265488	-70.57660675	49.48013084
41.91638947	-70.57862854	56.21395408
41.91630936	-70.57840729	57.90208538
41.91624069	-70.57819366	33.00099055
41.91616058	-70.57795715	37.69888926
41.9160881	-70.5776825	71.66724425
41.91604996	-70.57746887	11.14605992
41.91601944	-70.57720947	29.72534074
41.91601944	-70.57697296	17.34766107
41.91600037	-70.57672119	16.5100818
41.91600037	-70.57646942	27.52638823
41.91598892	-70.57623291	40.36189638
41.91596	-70.57598877	34.47500958
41.9159584	-70.575737	23.59542754
41.91595078	-70.57550049	32.89706635
41.91596985	-70.57523346	29.53938567
41.91601181	-70.57498932	32.31553897
41.91603088	-70.57475281	18.41506993
41.91601944	-70.57449341	30.03633211
41.91596985	-70.57427216	41.41412697
41.91592026	-70.57402039	38.52687016
41.91585159	-70.57376862	30.22356598
41.91421	-70.574749	0
41.913996	-70.574749	20
41.913782	-70.574749	40
41.913568	-70.574749	60
41.913354	-70.574749	80
41.91314	-70.574749	100
