Meas No,Distance (cm),Permittivity (mV),Probe Soil Moisture (%),Comments
358,6090,1053,,
359,6100,953,,
360,6200,1015,,
361,6210,1002,,
362,6220,1018,,
363,6230,989,,
364,6240,927,,
365,6250,1034,,
366,6260,1011,,
367,6270,997,,
368,6280,982,,
369,6290,972,,
370,6300,1003,,
371,6400,960,,
372,6410,972,,
373,6420,994,,
374,6430,1025,,
375,6440,1028,,
376,6450,971,,
377,6460,1051,,
378,6470,1011,,
379,6480,951,,
380,6490,972,,
381,6500,1057,,
382,6600,1028,,
383,6610,1006,,
384,6620,1006,,
385,6630,897,,
386,6640,974,,
387,6650,803,,
388,6660,1023,,
389,6670,1032,,
390,6680,929,,
391,6690,992,,
392,6700,951,,
393,6800,949,,
394,6810,957,,
395,6820,976,,
396,6830,1025,,
397,6840,1073,,
398,6850,1073,,
399,6860,978,,
400,6870,831,,
401,6880,967,,
402,6890,1000,,
403,6900,959,,
404,7000,1001,,
405,7010,948,,
406,7020,968,,
407,7030,930,,
408,7040,920,,
409,7050,972,,
410,7060,1006,,
411,7070,970,,
412,7080,971,,
413,7090,993,,
414,7100,951,,
415,7200,1036,,
416,7210,1020,,
417,7220,1017,,
418,7230,1037,,
419,7240,1050,,
420,7250,1081,,
421,7260,1075,,
422,7270,1062,,
423,7280,1060,,
424,7290,1096,,
425,7300,1070,,
426,7400,990,,
427,7410,978,,
428,7420,1021,,
429,7430,990,,
430,7440,914,,
431,7450,871,,
432,7460,951,,
433,7470,914,,
434,7480,998,,
435,7490,878,,
436,7500,857,,
437,7600,957,,
438,7610,754,,
439,7620,786,,
440,7630,883,,
441,7640,904,,
442,7650,891,,
443,7660,896,,
444,7670,916,,
445,7680,870,,
446,7690,880,,
447,7700,868,,
448,7800,875,,
449,7810,821,,
450,7820,838,,
451,7830,849,,
452,7840,688,,
453,7850,854,,
454,7860,968,,
455,7870,972,,
456,7880,884,,
457,7890,796,,
458,7900,874,,
459,8000,986,,
460,8010,856,,
461,8020,860,,
462,8030,869,,
463,8040,840,,
464,8050,620,,
465,8060,882,,
466,8070,904,,
467,8080,857,,
468,8090,887,,
469,8100,899,,
470,8200,997,,
471,8300,983,,
472,8400,741,,
473,8500,992,,
474,8600,827,,
475,8700,985,,
476,8800,908,,
477,8900,872,,
478,9000,649,,
479,9100,816,,
480,9200,817,,
481,9300,917,,
482,9400,903,,
483,9500,887,,
484,9600,849,,
485,9700,728,,
486,9800,766,,
487,9900,709,,
488,10000,790,,
489,10100,817,,
490,10200,840,,
491,10300,931,,
492,10400,845,,
493,10500,950,,
494,10600,854,,
495,10700,518,,
496,10800,620,,
497,10900,575,,
498,11000,636,,
499,11100,631,,
500,11200,809,,
501,11300,810,,
502,11400,726,,
503,11500,1010,,
504,11600,937,,
505,11700,1008,,
506,11800,919,,
507,11900,706,,
508,12000,653,,
509,12100,638,,
510,12200,649,,
511,12300,692,,
512,12400,856,,
513,12500,814,,
514,12600,694,,
515,12700,839,,
516,12800,785,,
517,12900,849,,
518,13000,841,,
519,13100,665,,
520,13200,657,,
521,13300,816,,
522,13400,646,,
523,13500,702,,
524,13600,668,,
525,13700,701,,
526,13800,615,,
527,13900,683,,
528,14000,827,,
529,14100,820,,
530,14200,887,,
531,14300,881,,
532,14400,1127.3,,Standing Water
533,14500,654,,
534,14600,829,,
535,14700,842,,
536,14800,916,,
537,14900,1066,,
538,15000,978,,
539,15100,838,,
540,15200,847,,
541,15300,876,,
542,15400,899,,
543,15500,718,,
544,15600,468,,
545,15700,311,,
546,15800,320,,
547,15900,359,,
548,16000,201,,
549,16100,220,,
550,16200,338,,
551,16300,467,,
552,16400,406,,
553,16500,419,,
554,16600,562,,
555,16700,349,,
556,16800,217,,
557,16900,355,,
558,17000,252,,
559,17100,196,,
560,17200,174,,
561,17300,206,,
562,17400,160,,
563,17500,214,,
564,17600,290,,
565,17700,404,,
566,17800,360,,
567,17900,581,,
568,18000,482,,
569,18100,354,,
570,18200,271,,
571,18300,435,,
572,18400,340,,
573,18500,697,,
574,18600,835,,
575,18700,642,,
576,18800,233,,
577,18900,301,,
578,19000,614,,
579,19100,623,,
580,19200,551,,
581,19300,537,,
582,19400,656,,
583,19500,818,,
584,19600,530,,
585,19700,372,,
586,19800,222,,
587,19900,482,,
588,20000,519,,
589,20100,379,,
590,20200,396,,
591,20300,363,,
592,20400,307,,
593,20500,334,,
594,20600,426,,
595,20700,504,,
596,20800,344,,
597,20900,344,,
598,21000,442,,
599,21100,411,,
600,21200,300,,
601,21300,438,,
602,21400,313,,
603,21500,304,,
604,21600,390,,
605,21700,380,,
606,21800,400,,
607,21900,312,,
608,22000,292,,
609,22100,256,,
610,22200,298,,
611,22300,345,,
612,22400,250,,
613,22500,220,,
614,22600,262,,
615,22700,412,,
616,22800,238,,
617,22900,245,,
618,23000,335,,
619,23100,296,,
620,23200,378,,
621,23300,269,,
622,23400,262,,
623,23500,267,,
624,23600,230,,
625,23700,332,,
626,23800,325,,
627,23900,267,,
628,24000,375,,
629,24100,408,,
630,24200,465,,
631,24300,525,,
632,24400,474,,
633,24500,525,,
634,24600,505,,
635,24700,368,,
636,24800,535,,
637,24900,517,,
638,25000,679,,
639,25100,590,,
640,25200,435,,
641,25300,435,,
642,25400,199,,
643,25500,359,,
644,25600,381,,
645,25700,368,,
646,25800,541,,
647,25900,526,,
648,26000,429,,
649,26100,463,,
650,26200,527,,
651,26300,523,,
652,26400,629,,
653,26500,627,,
654,26600,505,,
655,26700,700,,
656,26800,546,,
657,26900,655,,
658,27000,553,,
659,27100,691,,
660,27200,778,,
661,27300,662,,
662,27400,732,,
663,27500,754,,
664,27600,841,,
665,27700,646,,
666,27800,575,,
667,27900,711,,
668,28000,666,,
669,28100,455,,
670,28200,678,,
671,28300,455,,
672,28400,470,,
673,28500,559,,
674,28600,420,,
675,28700,639,,
676,28800,564,,
677,28900,529,,
678,29000,509,,
679,29100,531,,
680,29200,618,,
681,29300,499,,
682,29400,425,,
683,29500,632,,
684,29600,566,,
685,29700,602,,
686,29800,650,,
687,29900,475,,
688,30000,528,,
689,30100,510,,
690,30200,525,,
691,30300,707,,
692,30400,602,,
693,30500,430,,
694,30600,665,,
695,30700,536,,
696,30800,604,,
697,30900,556,,
698,31000,644,,
699,31100,586,,
700,31200,606,,
701,31300,544,,
702,31400,510,,
703,31500,730,,
704,31600,849,,
705,31700,830,,
706,31800,551,,
707,31900,441,,
708,32000,438,,
709,32100,326,,
710,32200,478,,
711,32300,702,,
712,32400,848,,
713,32500,699,,
714,32600,436,,
715,32700,341,,
716,32800,344,,
717,32900,260,,
718,33000,202,,
719,33100,256,,
720,33200,228,,
721,33300,529,,
722,33400,554,,
723,33500,776,,
724,33600,448,,
725,33700,601,,
726,33800,405,,
727,33900,571,,
728,34000,502,,
729,34100,396,,
730,34200,262,,
731,34300,322,,
732,34400,308,,
733,34500,590,,
734,34600,378,,
735,34700,437,,
736,34800,236,,
737,34900,474,,
738,35000,533,,
739,35100,351,,
740,35200,480,,
741,35300,636,,
742,35400,650,,
743,35500,648,,
744,35600,509,,
745,35700,668,,
746,35800,622,,
747,35900,633,,
748,36000,576,,
749,36100,493,,
750,36200,490,,
751,36300,550,,
752,36400,412,,
753,36500,388,,
754,36600,601,,
755,36700,516,,
756,36800,458,,
757,36900,430,,
758,37000,1058,,
759,37100,531,,
760,37200,365,,
761,37300,682,,
762,37400,680,,
763,37500,542,,
764,37600,579,,
765,37700,583,,
766,37800,522,,
767,37900,508,,
768,38000,723,,
769,38100,673,,
770,38200,554,,
771,38300,485,,
772,38400,644,,
773,38500,508,,
774,38600,634,,
775,38700,525,,
776,38800,668,,
777,38900,667,,
778,39000,355,,
779,39100,698,,
780,39200,711,,
781,39300,352,,
782,39400,732,,
783,39500,606,,
784,39600,609,,
785,39700,574,,
786,39800,380,,
787,39900,450,,
788,40000,433,,
789,40100,351,,
790,40200,556,,
791,40300,562,,
792,40400,563,,
793,40500,380,,
794,40600,345,,
795,40700,367,,
796,40800,479,,
797,40900,435,,
798,41000,323,,
799,41100,251,,
